time/fps,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/success_rate,train/actor_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
122,5742,280,0.001,0.0011406540870666504,47,0.96,0.20693472027778625,5674,-0.60369382,7.06
121,5792,290,0.001,0.002167173638008535,47,0.96,0.22197813789049783,5724,-0.5996968000000001,6.79
121,5822,300,0.001,0.001436379214283079,47,0.96,0.21421775221824646,5751,-0.6043618,6.81
121,5857,310,0.001,0.0018936818814836442,48,0.97,0.19202712178230286,5791,-0.56779652,6.33
121,5900,320,0.001,0.0024286945117637515,48,0.98,0.1822422742843628,5830,-0.51464851,5.75
121,5949,330,0.001,0.0021629930447994005,48,0.98,0.17515697479248046,5884,-0.5070042899999999,5.51
121,6033,340,0.001,0.0021420621778815985,49,0.97,0.21406115218997002,5967,-0.52259784,5.65
121,6122,350,0.001,0.0021855180477723477,50,0.96,0.2199862265586853,6056,-0.56327838,6.1
121,6160,360,0.001,0.002377467773233851,50,0.97,0.22785937786102295,6094,-0.5114730000000001,5.29
121,6245,370,0.001,0.0019933643440405526,51,0.96,0.17065051198005676,6179,-0.54879365,5.8
121,6283,380,0.001,0.0017714220011839643,51,0.97,0.20318038761615753,6217,-0.5276713100000001,5.41
121,6381,390,0.001,0.0025224060906718173,52,0.96,0.21486085653305054,6308,-0.56625167,5.89
121,6431,400,0.001,0.0018482326607530315,52,0.96,0.24846450984477997,6364,-0.5900139000000001,6.09
120,6515,410,0.001,0.0019550975412130356,54,0.95,0.18843717873096466,6448,-0.6273996999999999,6.58
120,6556,420,0.001,0.0024602511432021855,54,0.95,0.23105895022551218,6488,-0.61653695,6.56
120,6592,430,0.001,0.0022672086488455534,54,0.95,0.21377287805080414,6525,-0.59792508,6.43
120,6645,440,0.001,0.0020034105400554836,55,0.96,0.17031744867563248,6571,-0.57257448,6.12
120,6729,450,0.001,0.002749388882269462,55,0.96,0.2016465663909912,6661,-0.55452819,6.07
120,6826,460,0.001,0.001748433414225777,56,0.95,0.1873834729194641,6753,-0.6058476500000001,6.66
