train/n_updates,rollout/ep_len_mean,time/fps,train/critic_loss,time/total_timesteps,rollout/success_rate,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,time/episodes,train/ent_coef_loss
41013,44.76,79,0.0411047525703907,41114,0.13,518,-14.075775146484375,-6.450669979999999,0.0003,0.007187698036432266,870,1.570111632347107
41393,43.82,79,0.044981684535741806,41494,0.15,523,-13.728217124938965,-6.39622584,0.0003,0.0067899227142333984,880,0.443392276763916
41846,43.77,79,0.03765774890780449,41947,0.15,528,-12.690794944763184,-6.426758660000001,0.0003,0.006445540115237236,890,-2.9736011028289795
42175,42.06,79,0.07263056933879852,42276,0.19,532,-13.345705032348633,-6.184901960000001,0.0003,0.006339940242469311,900,2.44268798828125
42630,41.82,79,0.18652933835983276,42731,0.19,538,-12.84536075592041,-6.03118565,0.0003,0.006456530652940273,910,0.15383005142211914
43130,42.16,79,0.05020131915807724,43231,0.18,544,-12.579910278320312,-6.07599684,0.0003,0.006577454041689634,920,0.8091939687728882
43545,41.63,79,0.46576234698295593,43646,0.19,550,-12.251937866210938,-5.82147007,0.0003,0.006655164994299412,930,0.4433136582374573
43935,40.53,79,0.4918660819530487,44036,0.22,555,-11.619394302368164,-5.63657198,0.0003,0.006279115565121174,940,0.8599790334701538
44435,40.95,79,0.4340108036994934,44536,0.21,561,-11.584260940551758,-5.714496939999999,0.0003,0.006352314259856939,950,-0.2031843662261963
44935,42.32,79,0.028916096314787865,45036,0.18,568,-11.244270324707031,-6.1165742,0.0003,0.006463776342570782,960,0.6721181869506836
45365,43.52,79,0.025633830577135086,45466,0.16,573,-10.885639190673828,-6.268420450000001,0.0003,0.006236388813704252,970,-2.9670934677124023
45779,43.86,79,0.26468509435653687,45880,0.15,578,-10.49254035949707,-6.20424992,0.0003,0.006199053023010492,980,-0.9319621324539185
46279,44.33,79,0.024411097168922424,46380,0.14,585,-10.432140350341797,-6.2495738900000015,0.0003,0.006156268995255232,990,-1.1286005973815918
46685,45.1,79,0.028335344046354294,46786,0.12,590,-9.883636474609375,-6.22967992,0.0003,0.006186918821185827,1000,-2.0709898471832275
47125,44.95,79,0.028705433011054993,47226,0.13,596,-9.776503562927246,-6.461146919999999,0.0003,0.005914116743952036,1010,-0.383919358253479
47538,44.08,79,0.3156973421573639,47639,0.15,601,-9.48287582397461,-6.31147078,0.0003,0.0057426998391747475,1020,1.966831922531128
48038,44.93,79,0.02594355307519436,48139,0.13,607,-9.200786590576172,-6.454496090000001,0.0003,0.005560670047998428,1030,-1.8267292976379395
48477,45.42,79,0.023136571049690247,48578,0.12,612,-9.239845275878906,-6.48913274,0.0003,0.005340384319424629,1040,-2.881333827972412
48929,44.94,79,0.18343064188957214,49030,0.13,617,-9.035663604736328,-6.205181109999999,0.0003,0.005294397938996553,1050,0.6736996173858643
49383,44.48,79,0.02380320057272911,49484,0.14,623,-9.09044361114502,-5.896952869999999,0.0003,0.005322812125086784,1060,-0.7687729001045227
49721,43.56,79,0.018700862303376198,49822,0.16,627,-8.735870361328125,-5.6674814300000005,0.0003,0.005156196188181639,1070,1.1038144826889038
