train/actor_loss,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/success_rate,time/total_timesteps,train/n_updates,time/fps,rollout/ep_rew_mean,train/learning_rate
-11.597910919189452,1100,296,44.94,1.2420511370897294,0.13,34569,34429,116,-13.014259029999998,0.001
-13.069980297088623,1110,300,44.67,1.5611570131778718,0.14,35042,34902,116,-12.03471476,0.001
-13.957763314247131,1120,304,44.24,1.4997358992695808,0.15,35451,35311,116,-11.266207399999995,0.001
-14.314290885925294,1130,306,43.28,1.9847345465421677,0.17,35808,35668,116,-9.921833239999998,0.001
-15.147734508514404,1140,311,42.56,2.167030777335167,0.19,36236,36096,116,-8.46961498,0.001
-16.12713403701782,1150,315,42.6,2.0158752635121346,0.19,36692,36552,116,-8.1769204,0.001
-17.286367263793945,1160,320,44.1,2.7623103362321855,0.15,37192,37052,116,-8.38344854,0.001
-18.179845123291017,1170,323,44.21,2.5736064809560775,0.15,37609,37469,116,-8.2991854,0.001
-18.88844524383545,1180,328,44.65,3.0694452369213105,0.14,38109,37969,115,-8.553465110000001,0.001
-20.45827262878418,1190,333,44.79,3.3514327043294907,0.13,38609,38469,115,-8.76282055,0.001
-21.611668090820313,1200,337,44.93,3.961766104698181,0.12,39062,38969,115,-8.90511695,0.001
-22.74108757019043,1210,341,45.2,2.6997996455430986,0.11,39562,39422,115,-8.91161613,0.001
-24.241582107543945,1220,346,46.11,4.661479838490486,0.09,40062,39922,115,-9.38682488,0.001
-28.949216575622557,1230,349,47.54,6.721142758131027,0.06,40562,40422,115,-10.52484123,0.001
-32.60224727630615,1240,354,48.26,8.568978669643402,0.04,41062,40922,115,-12.41965604,0.001
-34.651603851318356,1250,358,48.7,9.115581316947937,0.03,41562,41422,116,-15.055721090000002,0.001
-37.057616271972655,1260,361,48.7,7.952083084583283,0.03,42062,41922,116,-18.07152018,0.001
-38.39734733581543,1270,365,49.53,12.31348932981491,0.01,42562,42422,116,-21.38386684,0.001
-40.8121549987793,1280,370,49.53,14.518175082206726,0.01,43062,42922,116,-23.57159115,0.001
-42.449716873168946,1290,373,49.07,16.101764249801636,0.02,43516,43376,116,-24.682289860000004,0.001
-43.72618370056152,1300,377,49.06,15.538576221466064,0.02,43968,43828,116,-25.759212870000002,0.001
-45.138689880371096,1310,381,48.62,15.146941056251526,0.03,44424,44284,116,-26.175198330000004,0.001
-48.09968605041504,1320,385,48.62,15.503182010650635,0.03,44924,44784,116,-27.081901310000006,0.001
-50.69663215637207,1330,389,48.62,20.0065474486351,0.03,45424,45284,116,-28.69704059,0.001
-54.76431282043457,1340,392,48.62,18.755945599079134,0.03,45924,45784,116,-29.905328029999996,0.001
-57.101944046020506,1350,397,48.62,23.752421436309813,0.03,46424,46284,116,-31.402502480000003,0.001
-59.12844673156738,1360,401,48.62,27.329214296340943,0.03,46924,46784,116,-31.770676079999998,0.001
-60.5501139831543,1370,406,48.62,26.727154088020324,0.03,47424,47284,116,-32.04475953,0.001
-62.8219189453125,1380,410,48.62,25.20426989555359,0.03,47924,47784,116,-32.789300999999995,0.001
-64.2773281097412,1390,413,47.64,23.873630156517027,0.05,48280,48188,116,-33.52560589,0.001
-65.44737854003907,1400,417,47.64,25.34402527332306,0.05,48732,48592,116,-35.34105054,0.001
-67.25275131225585,1410,421,48.08,38.04967184066773,0.04,49232,49092,116,-37.63572108999999,0.001
-68.63478393554688,1420,426,48.08,32.86846539020539,0.04,49732,49592,116,-38.42474039,0.001
